Image Filename,Prefix,Writer Name (Arabic),Writer Name (English),
kc0061_01_04_19210316_004,kc0061,ميشال صيقلي,Michel Saykali,
kc0061_01_04_19210402_001a,kc0061,ميشال صيقلي,Michel Saykali,
kc0061_01_04_19210402_001b,kc0061,ميشال صيقلي,Michel Saykali,
kc0061_01_04_19210406_001,kc0061,ميشال صيقلي,Michel Saykali,
kc0061_01_04_19210412_001a,kc0061,ميشال صيقلي,Michel Saykali,
kc0061_01_04_19210412_001b,kc0061,ميشال صيقلي,Michel Saykali,
kc0061_01_04_19210417_001,kc0061,ميشال صيقلي,Michel Saykali,
kc0061_01_04_19210419_001a,kc0061,ميشال صيقلي,Michel Saykali,
kc0061_01_04_19210419_001b,kc0061,ميشال صيقلي,Michel Saykali,
kc0061_01_04_19210504_001b,kc0061,ميشال صيقلي,Michel Saykali,
kc0061_01_04_19210512_001,kc0061,ميشال صيقلي,Michel Saykali,
kc0061_01_04_19210512_002,kc0061,ميشال صيقلي,Michel Saykali,
kc0061_01_04_19210513_001,kc0061,ميشال صيقلي,Michel Saykali,
kc0061_01_04_19210526_001,kc0061,ميشال صيقلي,Michel Saykali,
kc0066_01_01_1873diary_005,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_006,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_007,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_008,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_009,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_010,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_011,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_012,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_013,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_014,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_015,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_016,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_017,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_018,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_019,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_020,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_021,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_022,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_025,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_026,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_027,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_028,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_029,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_030,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_031,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_032,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_033,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_034,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_035,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_036,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_037,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_038,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_039,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_040,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_041,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_042,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_043,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_044,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_045,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_046,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_047,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_048,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_049,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_050,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_051,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_052,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_053,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_054,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_055,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_056,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_057,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_058,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_059,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_061,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_062,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_063,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_064,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_065,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_077,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_078,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_164,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_165,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_166,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_167,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_168,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_169,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_170,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
kc0066_01_01_1873diary_171,kc0066,حنا غيث (خوان جايت),Hanna Ghayth (Juan Gait),
KEllis2018-139a,KEllis,يوسف حبيش,Yousef Hobeiche,
KEllis2018-139b,KEllis,يوسف حبيش,Yousef Hobeiche,
KEllis2018-139c,KEllis,يوسف حبيش,Yousef Hobeiche,
KEllis2018-139d,KEllis,يوسف حبيش,Yousef Hobeiche,
KEllis2018-139e,KEllis,يوسف حبيش,Yousef Hobeiche,
KEllis2018-147e,KEllis,يوسف حبيش,Yousef Hobeiche,
KEllis2018-147f,KEllis,يوسف حبيش,Yousef Hobeiche,
KEllis2018-166a,KEllis,يوسف حبيش,Yousef Hobeiche,
KEllis2018-166b,KEllis,يوسف حبيش,Yousef Hobeiche,
KEllis2018-166c,KEllis,يوسف حبيش,Yousef Hobeiche,
KEllis2018-169a_1,KEllis,يوسف حبيش,Yousef Hobeiche,
KEllis2018-169a_2,KEllis,يوسف حبيش,Yousef Hobeiche,
KEllis2018-169b_1,KEllis,يوسف حبيش,Yousef Hobeiche,
KEllis2018-169b_2,KEllis,يوسف حبيش,Yousef Hobeiche,
KEllis2018-169c_1,KEllis,يوسف حبيش,Yousef Hobeiche,
KEllis2018-169c_2,KEllis,يوسف حبيش,Yousef Hobeiche,
KEllis2018-169d_1,KEllis,يوسف حبيش,Yousef Hobeiche,
KEllis2018-169d_2,KEllis,يوسف حبيش,Yousef Hobeiche,
KEllis2018-175a,KEllis,يوسف حبيش,Yousef Hobeiche,
KEllis2018-175b,KEllis,يوسف حبيش,Yousef Hobeiche,
KEllis2018-193a,KEllis,يوسف حبيش,Yousef Hobeiche,
KEllis2018-193b,KEllis,يوسف حبيش,Yousef Hobeiche,
KEllis2018-193c,KEllis,يوسف حبيش,Yousef Hobeiche,
KEllis2019-105a,KEllis,,,
KEllis2019-106a,KEllis,انجال إليس,Angele Ellis,
KEllis2020-137b,KEllis,,,
KEllis2020-138b,KEllis,انجال إليس,Angele Ellis,
KEllis2020-140d,KEllis,انجال إليس,Angele Ellis,
KEllis2020-147b,KEllis,يوسف حبيش,Yousef Hobeiche,
KEllis2020-173a,KEllis,انجال إليس,Angele Ellis,
KJoseph18910818-001,KJoseph,خليل يوسف نادر رعد,Khalil Yossuf Nader Raad,
KJoseph18910818-002,KJoseph,خليل يوسف نادر رعد,Khalil Yossuf Nader Raad,
KJoseph18970910-001,KJoseph,خليل يوسف نادر رعد,Khalil Yossuf Nader Raad,
KJoseph18970910-002,KJoseph,خليل يوسف نادر رعد,Khalil Yossuf Nader Raad,
KJoseph18990827-001_1,KJoseph,خليل يوسف نادر رعد,Khalil Yossuf Nader Raad,
KJoseph18990827-001_2,KJoseph,خليل يوسف نادر رعد,Khalil Yossuf Nader Raad,
KJoseph18990827-002_1,KJoseph,خليل يوسف نادر رعد,Khalil Yossuf Nader Raad,
KJoseph18990827-002_2,KJoseph,خليل يوسف نادر رعد,Khalil Yossuf Nader Raad,
KJoseph18990913-001_1,KJoseph,خليل يوسف نادر رعد,Khalil Yossuf Nader Raad,
KJoseph18990913-001_2,KJoseph,خليل يوسف نادر رعد,Khalil Yossuf Nader Raad,
KJoseph19020905-001,KJoseph,خليل يوسف نادر رعد,Khalil Yossuf Nader Raad,
KJoseph19020905-002,KJoseph,خليل يوسف نادر رعد,Khalil Yossuf Nader Raad,
KJoseph19030207-001,KJoseph,خليل يوسف نادر رعد,Khalil Yossuf Nader Raad,
KJoseph19040209-001,KJoseph,خليل يوسف نادر رعد,Khalil Yossuf Nader Raad,
KJoseph19040607-001,KJoseph,خليل يوسف نادر رعد,Khalil Yossuf Nader Raad,
KJoseph19040607-002,KJoseph,خليل يوسف نادر رعد,Khalil Yossuf Nader Raad,
KJoseph19040819-001,KJoseph,خليل يوسف نادر رعد,Khalil Yossuf Nader Raad,
KJoseph19040819-002,KJoseph,خليل يوسف نادر رعد,Khalil Yossuf Nader Raad,
KJoseph19040819-003,KJoseph,خليل يوسف نادر رعد,Khalil Yossuf Nader Raad,
KJoseph19040819-004,KJoseph,خليل يوسف نادر رعد,Khalil Yossuf Nader Raad,
KJoseph19050928-002,KJoseph,خليل يوسف نادر رعد,Khalil Yossuf Nader Raad,
KJoseph19080319-001,KJoseph,خليل يوسف نادر رعد,Khalil Yossuf Nader Raad,
MeM1C_10_02,MeM,بطرس البطريرك الانطاكى,Peter the Patriarch of Antioch,
MG1_046,MG,موريس الجميل,Maurice Gemayel,
MG1_047,MG,موريس الجميل,Maurice Gemayel,
MG1_048,MG,موريس الجميل,Maurice Gemayel,
MG1_050_01r,MG,قسطنطين الياس,Constantine Elias,
MG1_050_02r,MG,قسطنطين الياس,Constantine Elias,
MG1_051r,MG,,,
MG1_051v,MG,,,
MG1_057,MG,موريس الجميل,Maurice Gemayel,
MG1_061,MG,موريس الجميل,Maurice Gemayel,
MG1_064,MG,موريس الجميل,Maurice Gemayel,
MG1_150_01,MG,الداعي مرشد حبشي,Murshid Habashi,
MG1_150_02,MG,الداعي مرشد حبشي,Murshid Habashi,
MG1_150_03,MG,الداعي مرشد حبشي,Murshid Habashi,
MG1_150_04,MG,الداعي مرشد حبشي,Murshid Habashi,
MG1_256v,MG,الاب الياس ابي خير,Father Elias Abi Khair,
MG1_367,MG,,,
MG1_374_01,MG,,,
MG26_43_01,MG,,,
MG26_43_02,MG,,,
MG26_43_03,MG,,,
MG26_43_04,MG,,,
MG26_43_05,MG,,,
MG26_43_06,MG,,,
MG26_43_07,MG,,,
MG26_43_08,MG,,,
MG26_43_09,MG,,,
MG26_43_10,MG,,,
MG26_43_11,MG,,,
MG31_101_02,MG, حسن خليل,Hassan Khalil,
MG31_101_03,MG, حسن خليل,Hassan Khalil,
MK2A_07_01r,MK,ميشال قهوجي,Michel Kahwaji,
MK2A_07_02r,MK,ميشال قهوجي,Michel Kahwaji,
MK2A_07_03r,MK,ميشال قهوجي,Michel Kahwaji,
MK2A_07_04r,MK,ميشال قهوجي,Michel Kahwaji,
MK2A_07_05r,MK,ميشال قهوجي,Michel Kahwaji,
MK2A_07_06r,MK,ميشال قهوجي,Michel Kahwaji,
MK2A_07_07r,MK,ميشال قهوجي,Michel Kahwaji,
MK2A_07_08r,MK,ميشال قهوجي,Michel Kahwaji,
MK2A_07_09r,MK,ميشال قهوجي,Michel Kahwaji,
MK2A_07_10r,MK,ميشال قهوجي,Michel Kahwaji,
MK2A_07_11r,MK,ميشال قهوجي,Michel Kahwaji,
MK2A_07_12r,MK,ميشال قهوجي,Michel Kahwaji,
MK2A_07_13r,MK,ميشال قهوجي,Michel Kahwaji,
MK2A_07_14r,MK,ميشال قهوجي,Michel Kahwaji,
MK2A_07_15r,MK,ميشال قهوجي,Michel Kahwaji,
MK2A_07_16r,MK,ميشال قهوجي,Michel Kahwaji,
MK2A_07_17r,MK,ميشال قهوجي,Michel Kahwaji,
MK2A_07_18r,MK,ميشال قهوجي,Michel Kahwaji,
MK2A_07_19r,MK,ميشال قهوجي,Michel Kahwaji,
MK2A_07_20r,MK,ميشال قهوجي,Michel Kahwaji,
MK2A_07_21r,MK,ميشال قهوجي,Michel Kahwaji,
MK2A_08_01r,MK,ميشال قهوجي,Michel Kahwaji,
MK2A_08_02r,MK,ميشال قهوجي,Michel Kahwaji,
MK2A_08_03r,MK,ميشال قهوجي,Michel Kahwaji,
MK2A_08_04r,MK,ميشال قهوجي,Michel Kahwaji,
MUKF4A_01_003r,MUKF,,,
MUKF4A_01_003v,MUKF,,,
MUKF4A_01_004r,MUKF,,,
MUKF4A_01_013r,MUKF,,,
MUKF4A_01_025r,MUKF,,,
MUKF4A_02_002r,MUKF,,,
MUKF4A_02_002v,MUKF,,,
MUKF4A_02_003r,MUKF,,,
MUKF4A_02_003v,MUKF,,,
MUKF4A_02_004r,MUKF,,,
MUKF4A_02_004v,MUKF,,,
MUKF4A_02_005r,MUKF,,,
MUKF4A_02_005v,MUKF,,,
MUKF4A_02_009r,MUKF,,,
MUKF4A_02_009v,MUKF,,,
MUKF4A_02_086r,MUKF,,,
MUKF4A_15_29r,MUKF,,,
MUKF4A_15_29v,MUKF,,,
MUKF4A_15_31v,MUKF,,,
MUKF4A_15_35r,MUKF,,,
MUKF4A_15_35v,MUKF,,,
MUKF4A_15_36v,MUKF,,,
MUKF4A_15_37r,MUKF,,,
MUKF4A_15_37v,MUKF,,,
Nasrallah-Al001-010a,Nasrallah,إملي نصر الله,Emily Nasrallah,
Nasrallah-Al001-010b,Nasrallah,إملي نصر الله,Emily Nasrallah,
Nasrallah-Al001-010c,Nasrallah,إملي نصر الله,Emily Nasrallah,
Nasrallah-Al001-010d,Nasrallah,إملي نصر الله,Emily Nasrallah,
Nasrallah-Al001-010e,Nasrallah,إملي نصر الله,Emily Nasrallah,
Nasrallah-Al001-010f,Nasrallah,إملي نصر الله,Emily Nasrallah,
Nasrallah-Al001-010g,Nasrallah,إملي نصر الله,Emily Nasrallah,
Nasrallah-Al001-010h,Nasrallah,إملي نصر الله,Emily Nasrallah,
Nasrallah-Al001-010i,Nasrallah,إملي نصر الله,Emily Nasrallah,
Nasrallah-Al001-010j,Nasrallah,إملي نصر الله,Emily Nasrallah,
Nasrallah-Al001-010k,Nasrallah,إملي نصر الله,Emily Nasrallah,
Nasrallah-Al001-010l,Nasrallah,إملي نصر الله,Emily Nasrallah,
Nasrallah-Al001-010m,Nasrallah,إملي نصر الله,Emily Nasrallah,
Nasrallah-Al001-010n,Nasrallah,إملي نصر الله,Emily Nasrallah,
Nasrallah-Al001-011a,Nasrallah,إملي نصر الله,Emily Nasrallah,
Nasrallah-Al001-013b,Nasrallah,إملي نصر الله,Emily Nasrallah,
Nasrallah-Al001-013c,Nasrallah,إملي نصر الله,Emily Nasrallah,
Nasrallah-Al001-013d,Nasrallah,إملي نصر الله,Emily Nasrallah,
Nasrallah-Al001-013e,Nasrallah,إملي نصر الله,Emily Nasrallah,
Nasrallah-Al001-013f,Nasrallah,إملي نصر الله,Emily Nasrallah,
Nasrallah-Al001-013g,Nasrallah,إملي نصر الله,Emily Nasrallah,
Nasrallah-Al001-014b,Nasrallah,إملي نصر الله,Emily Nasrallah,
Nasrallah-Al001-014c,Nasrallah,إملي نصر الله,Emily Nasrallah,
Nasrallah-Al001-014d,Nasrallah,إملي نصر الله,Emily Nasrallah,
Nasrallah-Al001-014e,Nasrallah,إملي نصر الله,Emily Nasrallah,
Nasrallah-Al001-014f,Nasrallah,إملي نصر الله,Emily Nasrallah,
Nasrallah-Al001-014g,Nasrallah,إملي نصر الله,Emily Nasrallah,
Nasrallah-Al001-014h,Nasrallah,إملي نصر الله,Emily Nasrallah,
Nasrallah-Al001-026a,Nasrallah,إملي نصر الله,Emily Nasrallah,
Nasrallah-Al001-026b,Nasrallah,إملي نصر الله,Emily Nasrallah,
Nasrallah-Al001-034b,Nasrallah,إملي نصر الله,Emily Nasrallah,
Nasrallah-Al001-034d,Nasrallah,إملي نصر الله,Emily Nasrallah,
Nasrallah-Al001-034e,Nasrallah,إملي نصر الله,Emily Nasrallah,
Nasrallah-Al001-034f,Nasrallah,إملي نصر الله,Emily Nasrallah,
Nasrallah-Al001-034h,Nasrallah,إملي نصر الله,Emily Nasrallah,
Nasrallah-Al001-034i,Nasrallah,إملي نصر الله,Emily Nasrallah,
Nasrallah-Al001-034j,Nasrallah,إملي نصر الله,Emily Nasrallah,
Nasrallah-Al001-034k,Nasrallah,إملي نصر الله,Emily Nasrallah,
Nasrallah-Al001-034l,Nasrallah,إملي نصر الله,Emily Nasrallah,
Nasrallah-Al001-034m,Nasrallah,إملي نصر الله,Emily Nasrallah,
Nasrallah-Al001-034n,Nasrallah,إملي نصر الله,Emily Nasrallah,
Nasrallah-Al001-034p,Nasrallah,إملي نصر الله,Emily Nasrallah,
Nasrallah-Al001-034q,Nasrallah,إملي نصر الله,Emily Nasrallah,
Nasrallah-Al001-035a,Nasrallah,إملي نصر الله,Emily Nasrallah,
Nasrallah-Al001-035b,Nasrallah,إملي نصر الله,Emily Nasrallah,
Nasrallah-Al001-035c,Nasrallah,إملي نصر الله,Emily Nasrallah,
Nasrallah-Al001-046a,Nasrallah,إملي نصر الله,Emily Nasrallah,
Nasrallah-Al001-046b,Nasrallah,إملي نصر الله,Emily Nasrallah,
Oussani2018-0282a,Oussani,,,
Oussani2018-0283a,Oussani,,,
Oussani2018-0284,Oussani,,,
Oussani2018-0285,Oussani,توماس وجون أوساني,Thomas and John Oussani,
Oussani2018-0286_1,Oussani,شقيق جوزيف أوساني,Brother of Joseph Oussani,
Oussani2018-0292a_1,Oussani,جوزيف أوساني,Joseph Oussani,
Oussani2018-0292a_2,Oussani,جوزيف أوساني,Joseph Oussani,
Oussani2018-0292b_1,Oussani,جوزيف أوساني,Joseph Oussani,
Oussani2018-0292b_2,Oussani,جوزيف أوساني,Joseph Oussani,
Oussani2018-0292c_1,Oussani,جوزيف أوساني,Joseph Oussani,
Oussani2018-0292c_2,Oussani,جوزيف أوساني,Joseph Oussani,
Oussani2018-0292d_1,Oussani,جوزيف أوساني,Joseph Oussani,
Oussani2018-0292d_2,Oussani,جوزيف أوساني,Joseph Oussani,
Oussani2018-0292e_1,Oussani,جوزيف أوساني,Joseph Oussani,
Oussani2018-0292e_2,Oussani,جوزيف أوساني,Joseph Oussani,
Oussani2018-0292f_1,Oussani,جوزيف أوساني,Joseph Oussani,
Oussani2018-0292f_2,Oussani,جوزيف أوساني,Joseph Oussani,
Oussani2018-0292g_1,Oussani,جوزيف أوساني,Joseph Oussani,
Oussani2018-0292g_2,Oussani,جوزيف أوساني,Joseph Oussani,
Oussani2018-0292h_1,Oussani,جوزيف أوساني,Joseph Oussani,
Oussani2018-0292h_2,Oussani,جوزيف أوساني,Joseph Oussani,
QAJE23D_02_01r,QAJE,,,
QAJE23D_02_01v,QAJE,,,
QAJE23D_02_02r,QAJE,,,
QAJE23D_02_02v,QAJE,,,
QAJE23D_02_03r,QAJE,,,
QAJE23D_02_03v,QAJE,,,
QAJE23D_02_04r,QAJE,,,
QAJE23D_02_04v,QAJE,,,
QAJE23D_02_05r,QAJE,,,
QAJE23D_02_05v,QAJE,,,
QAJE23D_02_06r,QAJE,,,
QAJE3G_20r,QAJE,,,
QAJE3G_28_02r,QAJE,شكرى قرداحي,Shukri Kordahi,
QAJE3G_42r,QAJE,,,
QAJE3G_47_05v,QAJE,,,
QAJE3G_48_02r,QAJE,,,
QAJE3G_49_16r,QAJE,نجيب ابو صوان,Negib Aboussouan,
QAJE5G_04_03r,QAJE,,,
QAJE5L_109r,QAJE,,,
QBat19D_004r,QBat,,,
QBat19D_020r,QBat,,,
QBat1L_051r,QBat,,,
QBat1L_052r,QBat,,,
QBat1L_084_03r,QBat,,,
QBat1L_087r,QBat,,,
QBat1L_242r,QBat,,,
QBat23D_31_002r,QBat,,,
QBat23D_31_002v,QBat,,,
QBat23D_31_003r,QBat,,,
QBat23D_31_003v,QBat,,,
QBat23D_31_004r,QBat,,,
QBat23D_31_004v,QBat,,,
QBat23D_31_005r,QBat,,,
QBat23D_31_005v,QBat,,,
QBat23D_31_006r,QBat,,,
QBat23D_31_006v,QBat,,,
QBat3D_0005r,QBat,الخوري الياس,Father Elias,
QBat3D_0006r,QBat,,,
QBat3D_0010r,QBat,,,
QBat3D_1471_02r,QBat,حاكم صلح البترون,Magistrate of Batroun,
QBat4L_003r,QBat,,,
QBat4L_012r,QBat,جرجس يوحانا باسيل,Jirjis Yuhanna Basil ,
QBat5H_0517r,QBat,,,
QBat5H_0523r,QBat,,,
QBat5H_0559r,QBat,,,
QBat5H_0574r,QBat,,,
QBat5H_0575r,QBat,,,
QBat5H_0856r,QBat,,,
QBat5H_1009_04r,QBat,,,
QBat5H_1067r,QBat,,,
QBat5L_09r,QBat,,,
QBat7F_12r,QBat,,,
QBat8L_02r,QBat,,,
QBat8L_03r,QBat,,,
SB3A_01_01r,SB,,,
ST1A_197_01,ST,صلاح تيزاني,Salah Tizani,
ST1A_197_02,ST,صلاح تيزاني,Salah Tizani,
ST1A_197_03,ST,صلاح تيزاني,Salah Tizani,
ST1A_197_04,ST,صلاح تيزاني,Salah Tizani,
ST1A_197_05,ST,صلاح تيزاني,Salah Tizani,
ST1A_197_06,ST,صلاح تيزاني,Salah Tizani,
ST1A_197_07,ST,صلاح تيزاني,Salah Tizani,
ST1A_197_08,ST,صلاح تيزاني,Salah Tizani,
ST1A_197_09,ST,صلاح تيزاني,Salah Tizani,
ST1A_197_10,ST,صلاح تيزاني,Salah Tizani,
ST1A_197_11,ST,صلاح تيزاني,Salah Tizani,
ST1A_197_12,ST,صلاح تيزاني,Salah Tizani,
ST1A_197_13,ST,صلاح تيزاني,Salah Tizani,
ST1A_197_14,ST,صلاح تيزاني,Salah Tizani,
ST1A_197_15,ST,صلاح تيزاني,Salah Tizani,
ST1A_197_16,ST,صلاح تيزاني,Salah Tizani,
ST1A_197_17,ST,صلاح تيزاني,Salah Tizani,
ST1A_197_18,ST,صلاح تيزاني,Salah Tizani,
ST1A_197_19,ST,صلاح تيزاني,Salah Tizani,
ST1A_197_20,ST,صلاح تيزاني,Salah Tizani,
ST1A_197_21,ST,صلاح تيزاني,Salah Tizani,
ST1A_197_22,ST,صلاح تيزاني,Salah Tizani,
ST1A_197_23,ST,صلاح تيزاني,Salah Tizani,
ST1A_197_24,ST,صلاح تيزاني,Salah Tizani,
ST1A_409_01,ST,صلاح تيزاني,Salah Tizani,
ST1A_409_02,ST,صلاح تيزاني,Salah Tizani,
ST1A_409_03,ST,صلاح تيزاني,Salah Tizani,
ST1A_409_04,ST,صلاح تيزاني,Salah Tizani,
ST1A_409_05,ST,صلاح تيزاني,Salah Tizani,
ST1A_409_06,ST,صلاح تيزاني,Salah Tizani,
ST1A_409_07,ST,صلاح تيزاني,Salah Tizani,
ST1A_409_08,ST,صلاح تيزاني,Salah Tizani,
ST1A_409_09,ST,صلاح تيزاني,Salah Tizani,
ST1A_409_10,ST,صلاح تيزاني,Salah Tizani,
ST1A_409_11,ST,صلاح تيزاني,Salah Tizani,
ST1A_409_12,ST,صلاح تيزاني,Salah Tizani,
ST1A_409_13,ST,صلاح تيزاني,Salah Tizani,
ST1A_409_14,ST,صلاح تيزاني,Salah Tizani,
ST1A_409_15,ST,صلاح تيزاني,Salah Tizani,
ST1A_409_16,ST,صلاح تيزاني,Salah Tizani,
ST1A_409_17,ST,صلاح تيزاني,Salah Tizani,
ST1A_409_18,ST,صلاح تيزاني,Salah Tizani,
ST1A_409_19,ST,صلاح تيزاني,Salah Tizani,
ST1A_409_20,ST,صلاح تيزاني,Salah Tizani,
ST1A_409_21,ST,صلاح تيزاني,Salah Tizani,
ST1A_409_22,ST,صلاح تيزاني,Salah Tizani,
ST1A_409_23,ST,صلاح تيزاني,Salah Tizani,
ST1A_409_24,ST,صلاح تيزاني,Salah Tizani,
TAttallah2020-019,TAttallah,الخوري الياس باسيل,Father Elias Bassil,
TAttallah2020-020,TAttallah,,,
TAttallah2020-023,TAttallah,الاب طوبيا العيسى,Father Tobia al-Issa,
TAttallah2020-024,TAttallah,الخوري الياس باسيل,Father Elias Bassil,
TAttallah2020-026,TAttallah,الاب طوبيا العيسى,Father Tobia al-Issa,
TAttallah2020-027a,TAttallah,اسعد درويش زكريا,Assad Darouich Zacharias,
TAttallah2020-027b,TAttallah,اسعد درويش زكريا,Assad Darouich Zacharias,
TAttallah2020-029,TAttallah,الخوري الياس باسيل,Father Elias Bassil,
TAttallah2020-031a,TAttallah, اسعد الخوري طوبيا عطاالله,Asaad Koury Tobia Attallah,
